v1,v2,Unique_Stopword_Count,Word_Count,Stopword_Count,Unique_Stem_Count,Unique_Word_Count,Unique_Word_Count/Word_Count
ham,go jurong point crazy available bugis n great world la e buffet cine got amore wat,0,16,0,16,16,1.0
ham,ok lar joking wif oni,0,5,0,5,5,1.0
spam,free entry 2 wkly comp win fa cup final tkts 21st may 2005 text fa 87121 receive entry questionstd txt ratetcs apply 08452810075over18s,0,23,0,21,21,0.9130434782608695
ham,dun say early hor c already say,0,7,0,6,6,0.8571428571428571
ham,nah think goes usf lives around though,0,7,0,7,7,1.0
spam,freemsg hey darling 3 weeks word back would like fun still tb ok xxx std chgs send a150 rcv,0,19,0,19,19,1.0
ham,even brother like speak me treat like aids patent,1,9,1,8,8,0.8888888888888888
ham,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press 9 copy friends callertune,0,16,0,14,14,0.875
spam,winner valued network customer selected receivea a900 prize reward claim call 09061701461 claim code kl341 valid 12 hours only,1,19,1,18,18,0.9473684210526315
spam,mobile 11 months more r entitled update latest colour mobiles camera free call mobile update co free 08002986030,1,18,1,14,15,0.8333333333333334
ham,going home soon want talk stuff anymore tonight k cried enough today,0,12,0,12,12,1.0
spam,six chances win cash 100 20000 pounds txt csh11 send 87575 cost 150pday 6days 16 tsandcs apply reply hl 4 info,0,21,0,21,21,1.0
spam,urgent 1 week free membership a100000 prize jackpot txt word claim no 81010 tc wwwdbuknet lccltd pobox 4403ldnw1a7rw18,1,18,1,18,18,1.0
ham,searching right words thank breather promise take help granted fulfil promise wonderful blessing times,0,14,0,13,13,0.9285714285714286
ham,date sunday will,1,3,1,3,3,1.0
spam,xxxmobilemovieclub use credit click wap link next txt message click here httpwap xxxmobilemovieclubcomnqjkgighjjgcbl,1,13,1,12,12,0.9230769230769231
ham,oh ki watching here,1,4,1,4,4,1.0
ham,eh remember 2 spell name yes did v naughty make v wet,1,12,1,11,11,0.9166666666666666
ham,fine thataos way feel thataos way gota b,0,8,0,6,6,0.75
spam,england v macedonia  miss goalsteam news txt national team 87077 eg england 87077 trywales scotland 4txti14120 poboxox36504w45wq 16,0,18,0,16,16,0.8888888888888888
ham,seriously spell name,0,3,0,3,3,1.0
ham,ium going try 2 months ha ha joking,0,8,0,7,7,0.875
ham,i pay first lar da stock comin,1,7,1,7,7,1.0
ham,aft finish lunch go str lor ard 3 smth lor finish lunch already,0,13,0,10,10,0.7692307692307693
ham,ffffffffff alright way meet sooner,0,5,0,5,5,1.0
ham,forced eat slice really hungry though sucks mark getting worried knows sick turn pizza lol,0,15,0,15,15,1.0
ham,lol always convincing,0,3,0,3,3,1.0
ham,catch bus  frying egg  make tea eating moms left dinner  feel love ,0,12,0,12,12,1.0
ham,back amp packing car now let know room,1,8,1,8,8,1.0
ham,ahhh work vaguely remember that feel like lol,1,8,1,8,8,1.0
ham,wait still clear sure sarcastic x want live us,0,9,0,9,9,1.0
ham,yeah got 2 v apologetic n fallen actin like spoilt child got caught that till 2 go there badly cheers you,3,21,3,19,19,0.9047619047619048
ham,k tell anything you,1,4,1,4,4,1.0
ham,fear fainting housework did quick cuppa,1,6,1,6,6,1.0
spam,thanks subscription ringtone uk mobile charged a5month please confirm replying yes no reply charged,1,14,1,12,13,0.9285714285714286
ham,yup ok go home look timings message i again xuhui going learn 2nd may lesson 8am,2,16,2,15,16,1.0
ham,oops let know roommates done,0,5,0,5,5,1.0
ham,see letter b car,0,4,0,4,4,1.0
ham,anything lor decide,0,3,0,3,3,1.0
ham,hello saturday go texting see would decided anything tomo trying invite anything,0,12,0,11,11,0.9166666666666666
ham,pls go ahead watts wanted sure great weekend abiola,0,9,0,9,9,1.0
ham,forget tell  want  need you crave   love sweet arabian steed  mmmmmm  yummy,1,12,1,12,12,1.0
